WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
93760||SHD||||STAUTON/WAYNESBRO/HARRISONBG,|SHENANDOAH VALLEY RGNL ART||38.16|-78.54|0|0|0|
93765||MRH||||BEAUFORT, NC|MICHAEL J SMITH FLD ARPT||34.44|-76.4|10|11|13|
93773||AKQ||||WAKEFIELD, VA|WAKEFIELD MUNICIPAL ARPT||36.59|-77.01|108|108|111|
93775||OFP||||RICHMOND/ASHLAND, VA|HANOVER CO MUNICIPAL ARPT||37.43|-77.26|204|205|207|
93776||KNIS||||CHERRY POINT, NC|CHERRY POINT/MCAS ASOS 2||34.53|-76.52|30|30|30|
93778||THV||||YORK, PA|YORK AIRPORT||39.55|-76.52|472|480|475|
93780||VAY||||MOUNT HOLLY, NJ|SOUTH JERSEY REGIONAL ARPT||39.56|-74.5|50|53|53|
93781||RZZ||||ROANOKE RAPIDS, NC|HALIFAX COUNTY AIRPORT||36.26|-77.43|248|255|251|
93782||MEB||||MAXTON, NC|LAURINBURG-MAXTON AIRPORT||34.47|-79.22|219|220|222|
93783||BUY||||BURLINGTON, NC|BURLINGTON ALAMANCE RGL AP||36.03|-79.29|591|616|594|
93784||DMH||||BALTIMORE, MD|BALTIMORE DOWNTOWN||39.17|-76.37|22|19|25|
93785||IGX||||CHAPEL HILL, NC|HORACE WILLIAMS AIRPORT||35.56|-79.04|522|512|525|
93786||OXB||||OCEAN CITY, MD|OCEAN CITY MUNICIPAL ARTP||38.19|-75.07|19|12|22|
93796||ASJ||||AHOSKIE, NC|TRI-COUNTY AIRPORT||36.18|-77.1|0|0|0|
93797||AVC||||SOUTH HILL, VA|MCKNBRG-BRUNWICK RGNL ARPT||36.41|-78.03|0|0|0|
93798||CJR||||CULPEPER, VA|CULPEPER REGIONAL AIRPORT||38.32|-77.52|0|0|0|
93799||CPC||||WHITEVILLE, NC|COLUMBUS CO MUNICIPAL ARPT||34.16|-78.43|0|0|0|
93801|72320|RMG||09|7610|ROME, GA|RICHARD B RUSSELL AIRPORT||34.21|-85.1|634|644|637|
93803||CIR||||CAIRO, IL|Cairo Regional Airport||37.04|-89.13|0|321|0|
93805|72214|TLH|01|08|8758|TALLAHASSEE, FL|TALLAHASSEE REGIONAL ARPT|NAT'L WEA SER OFC*REGIONAL ARPT*3238 CAPITOL CIRCLE,SW*TALLAHASSEE,FL.32310*|30.23|-84.21|71|68|74|
93806||TCL|03|01|8380|TUSCALOOSA, AL|TUSCALOOSA MUNICIPAL ARPT||33.13|-87.37|164|186|167|
93807||INT||||WINSTON SALEM, NC|SMITH REYNOLDS AIRPORT||36.08|-80.13|993|970|996|
93808||BWG|02|15|0909|BOWLING GREEN, KY|BOW GRN-WARREN CO. RGNL AP|FAA/FLIGHT SERVICE STATION*1010 WOODHURST*BOWLING GREEN, KY.*42103*|36.59|-86.26|536|537|539|
93810||MDH||||CARBONDALE/MURPHYBORO, IL|SOUTHERN ILLINOIS AIRPORT||37.47|-89.15|427|416|430|
93812||LUK|08|33|1576|CINCINNATI, OH|CINA MUNI APT/LUKN FD APT|WEATHER DATA SERVICES INC.*ATTN:CLARENCE H. GOFF JR.*465 WILMER AVE*CINCINNATI, OH. 45226*|39.06|-84.25|509|497|512|
93814|72421|CVG|03|15|1855|COVINGTON/CINCINNATI, OH|CINCINNATI/NRN KY INTL APT||39.02|-84.4|882|883|885|
93815|72429|DAY|08|33|2075|DAYTON, OH|J.M.COX DAYTON INTL ARPT|NAT'L WEA SER OFC*3800 WRIGHT DRIVE*DAYTON INT'L AP*VANDALIA,OH 45377|39.55|-84.13|1001|1003|1004|
93816||1H2||||EFFINGHAM, IL|EFFINGHAM COUNTY MEMORIAL ARPT||39.04|-88.32|0|0|0|
93817|72432|EVV|07|12|2738|EVANSVILLE, IN|EVANSVILLE REGIONAL ARPT||38.02|-87.32|418|388|421|
93819|72438|IND|05|12|4259|INDIANAPOLIS, IN|INDIANAPOLIS INTL AIRPORT|NAT'L WEA SVC FCST OFC*6900 WEST HANNA AVE*INDIANAPOLIS, IN.*46241-9526*|39.43|-86.16|794|808|797|
93820|72422|LEX|03|15|4746|LEXINGTON, KY|BLUE GRASS AIRPORT|NAT'L WEA SER OFC*BLUE GRASS FIELD*LEXINGTON,KY.*40510-9607*|38.02|-84.37|977|980|980|
93821|72423|SDF|02|15|4954|LOUISVILLE, KY|LUVIL INTL-STNFRD FLD ARPT|NAT'L WEA SER OFC*1020 STANDIFORD LANE*LOUISVILLE, KY  40213-2022*|38.11|-85.44|481|488|484|
93822|72439|SPI|06|11|8179|SPRINGFIELD, IL|Abrahm Lincoln Capitol Airport|NAT'L WEA SER 0FC*4 N APRT ROAD*CAPITAL AIRPORT*SPRINGFIELD, IL 62708-8417|39.51|-89.41|591|613|594|
93824||ZZV|00|33|9417|ZANESVILLE, OH|ZANESVILLE MUNICIPAL ARPT||39.56|-81.53|878|902|881|
93831|722085|NBC||||BEAUFORT, SC|BEAUFORT MCAS|ATTN  WEATHER SERVICE OFFICER*MARINE CORPS AIR STATION*P O BOX     55001*BEAUFORT  SC  29904-5010|32.29|-80.43|29|38|37|
93837|722065|NIP||||JACKSONVILLE, FL|JACKSONVILLE NAS|NAVAL ATLANTIC METEOROLOGY AND*OCEANOGRAPHY FACILITY*PO BOX 85  NAVAL AIR STATION*JACKSONVILLE  FL  32212-0085|30.14|-81.4|18|22|41|
93839|723345|KNQA||||MILLINGTON, TN|Millington Municipal Airport||35.22|-89.52|292|320|300|
93841|722226|NSE||||WHITING FIELD, FL|NAVAL AIR STATION|NAVAL ATLANTIC METEOROLOGY AND*OCEANOGRAPHY DETACHMENT*NAVAL AIR S TATION  WHITING FIELD*MILTON  FL  32570-5160|30.43|-87.01|170|200|192|
93842|72225|CSG|04|09|2166|COLUMBUS, GA|COLUMBUS METRO AIRPORT|NAT'L WEA SER OFC*COLUMBUS METROPOLITAN ARPT*3100 AIRPORT THRUWAY* COLUMBUS, GA  31909*|32.31|-84.56|432|394|435|
93845||VLD||||VALDOSTA, GA|VALDOSTA REGIONAL AIRPORT||30.47|-83.17|198|198|201|
